pitfall_id,site,date,taxa,count
1,site_A,01-02-2025,ant,6
1,site_A,01-02-2025,bettle,3
1,site_A,01-02-2025,grasshopper,2
2,site_B,01-02-2025,butterfly,7
2,site_B,01-02-2025,ant,4
2,site_B,01-02-2025,bettle,1
3,site_C,02-02-2025,fly,6
3,site_C,02-02-2025,thrip,2
3,site_C,02-02-2025,grasshopper,1
4,site_A,02-02-2025,ant,7
4,site_A,02-02-2025,thrip,10
4,site_A,02-02-2025,butterfly,5
5,site_B,03-02-2025,grasshopper,4
5,site_B,03-02-2025,bettle,6
5,site_B,03-02-2025,ant,4
6,site_C,03-02-2025,butterfly,6
6,site_C,03-02-2025,ant,2
6,site_C,02-02-2025,grasshopper,2
